sku_id,brand,name,image_1,image_2,price,apparel,occasion,dress_code,url,,,,,,,,,,
36,Ann Taylor,ALL-SEASON STRETCH PENCIL SKIRT,AT16.jpg,AT17.jpg,89,"skirt, suit","interview, first day, client meeting, big presentation","biz casual, biz formal",http://www.anntaylor.com/all-season-stretch-pencil-skirt/320135?skuId=15432599&defaultColor=6600&colorExplode=false&catid=cata000013,,,,,,,,,,
37,Ann Taylor,ALL-SEASON STRETCH TROUSERS,AT18.jpg,AT19.jpg,98,"pant, suit","interview, first day, client meeting, big presentation",biz formal,http://www.anntaylor.com/ann-all-season-stretch-trousers/379691?skuId=19361222&defaultColor=6600&colorExplode=false&catid=cata000013,,,,,,,,,,
38,Ann Taylor,ALL-SEASON STRETCH TWO BUTTON JACKET,AT20.jpg,AT21.jpg,169,"blazer, suit","interview, first day, client meeting, big presentation",biz formal,http://www.anntaylor.com/all-season-stretch-two-button-jacket/377201?skuId=19695860&defaultColor=6600&colorExplode=false&catid=cata000013,,,,,,,,,,
39,Ann Taylor,Birdseye one button jacket,AT22.jpg,AT23.jpg,198,"blazer, suit","interview, first day, client meeting, big presentation",biz formal,http://www.anntaylor.com/birdseye-one-button-jacket/394320?skuId=20142612&defaultColor=6203&colorExplode=false&catid=cata000013,,,,,,,,,,
40,Ann Taylor,BIRDSEYE HIGH WAIST PENCIL SKIRT,AT24.jpg,AT25.jpg,109,"skirt, suit","interview, first day, client meeting, big presentation, day to day","biz casual, biz formal",http://www.anntaylor.com/birdseye-high-waist-pencil-skirt/385846,,,,,,,,,,
42,Ann Taylor,MERINO WOOL DOUBLE V SWEATER,AT28.jpg,AT29.jpg,79.5,sweater,"happy hour, day to day, casual friday","biz casual, smart casual",http://www.anntaylor.com/merino-wool-double-v-sweater/387669?skuId=20399702&defaultColor=5312&colorExplode=false&catid=cata000011,,,,,,,,,,
43,Ann Taylor,3/4 SLEEVE ANN CARDIGAN,AT30.jpg,AT31.jpg,69.5,sweater,"happy hour, day to day, casual friday","biz casual, smart casual",http://www.anntaylor.com/3/4-sleeve-ann-cardigan/396428?skuId=20382490&defaultColor=6600&colorExplode=false&catid=cata000011,,,,,,,,,,
44,Ann Taylor,DIAGONAL STRIPE SWEATER,AT32.jpg,AT33.jpg,79.99,sweater,"happy hour, day to day, casual friday","biz casual, smart casual",http://www.anntaylor.com/diagonal-stripe-sweater/400995?skuId=20459819&defaultColor=1246&colorExplode=false&catid=cata000011,,,,,,,,,,
45,Ann Taylor,RIBBED BOATNECK SWEATER,AT34.jpg,AT35.jpg,79.5,sweater,"happy hour, day to day, casual friday","biz casual, smart casual",http://www.anntaylor.com/ribbed-boatneck-sweater/387108?skuId=20389017&defaultColor=3402&colorExplode=false&catid=cata000011,,,,,,,,,,
46,Ann Taylor,DRAPEY PEPLUM SHELL,AT36.jpg,AT37.jpg,69.5,top,"day to day, casual friday","biz casual, smart casual",http://www.anntaylor.com/drapey-peplum-shell-/387779?skuId=20343316&defaultColor=9192&colorExplode=false&catid=cat2610003,,,,,,,,,,
